Altium Designer Pick and Place Locations
C:\Users\Rick\Desktop\calorieScale_Project\Project Outputs for calorieScale_Project\Pick Place for calorieScale.txt

========================================================================================================================
File Design Information:

Date:       28-12-22
Time:       05:06
Revision:   d031956aa6ee65888a7879b3846ad073848ca1a9
Variant:    No variations
Units used: mil

Designator       Comment           Layer       Footprint           Center-X(mil) Center-Y(mil) Rotation Description                                                                 
U102             LN6206P302        BottomLayer SOT23-3L            994.000       3767.000      360      ""                                                                          
U101             LN6206P182        BottomLayer SOT23-3L            1083.000      3429.000      360      ""                                                                          
R112             2K                BottomLayer R0603_L             1344.003      2649.997      180      贴片电阻                                                                        
R111             2K                BottomLayer R0603_L             1344.003      2702.997      180      贴片电阻                                                                        
R110             0R                TopLayer    R0603_L             1029.997      3544.997      360      贴片电阻                                                                        
R109             0R                BottomLayer R0603_L             1443.997      3276.997      90       贴片电阻                                                                        
R108             0R                TopLayer    R0603_L             1204.997      3545.003      270      贴片电阻                                                                        
R107             0R                TopLayer    R0603_L             1256.997      3545.003      270      贴片电阻                                                                        
C111             100nF             BottomLayer C0603_L             871.003       3739.997      180      贴片电容/MLCC电容                                                                 
C110             1uF               BottomLayer C0603_L             871.003       3793.409      180      贴片电容/MLCC电容                                                                 
C109             1uF               BottomLayer C0603_L             1099.003      3793.003      270      贴片电容/MLCC电容                                                                 
C108             100nF             TopLayer    C0603_L             919.997       3539.997      360      贴片电容/MLCC电容                                                                 
C107             1uF               TopLayer    C0603_L             919.997       3488.997      360      贴片电容/MLCC电容                                                                 
C106             1uF               BottomLayer C0603_L             1193.003      3457.003      270      贴片电容/MLCC电容                                                                 
Q302             AO3401            TopLayer    SOT23-3N            1960.630      145.669       180      "P沟道 30V/4.2A"                                                              
U301             CH573F            TopLayer    QFN28_4X4           430.748       878.740       360      "RISC-V MCU with BLE/USB/ADC/SPI/4*UART"                                    
E1               ANTENNA           TopLayer    ANT-F-1-2.4G-1.6    210.000       988.189       90       "Generic Antenna"                                                           
X1               32M               TopLayer    XTAL-3225-4P        450.000       1130.000      315      4脚无源晶振(谐振器）                                                                 
WeightSonsor     HDR-1X4           TopLayer    XH2.54-LI-4P        1745.000      1755.000      90       4P接插件                                                                       
USB201           USB_TYPE-C_6Pin   TopLayer    USB-C-SMD_6P        3105.000      135.002       90       USB_TYPE-C_6Pin母座                                                           
UK210            M1                TopLayer    M1                  854.095       2877.716      180      ""                                                                          
